2024-07-28 09:22:15, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:15, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:15, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:15, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:15, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:16, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:16, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:16, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:16, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:16, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:16, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:16, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:16, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:16, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:24:09, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:24:09, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:24:09, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:24:09, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:24:10, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:24:10, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:24:10, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:24:10, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:24:10, DISTANCE = 0.00, DESIRED VELOCITY = 0.00
2024-07-28 09:24:10, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:10, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:10, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:10, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:10, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:11, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:11, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:11, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:11, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:11, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:11, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:11, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:11, DISTANCE = inf, DESIRED VELOCITY = 25.00
