2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:11:28, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:12, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:14, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:15, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:16, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:17, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:18, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:19, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:20, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:21, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:22, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:23, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:24, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:25, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:26, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:27, Distance: 0.00m, Desired Velocity: 0.00km/h
